,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,装修描述,税费解析,周边配套,售房详情,交通出行,适宜人群,权属抵押,用水类型,用电类型
10,['万国城，高层正规观景三居，观湖景，户型方正，诚意卖'],1860,132801,"['东城', '东直门']",3室1厅1厨2卫,高楼层 (共26层),140.06㎡,平层,暂无数据,塔楼,东北,钢混结构,精装,四梯八户,集中供暖,有,2023-11-09,商品房,2005-10-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房位置好，户型方正，楼层高，视野正观小区湖景
                  ","
                    万国城小区是2003年商品房小区，绿化30%，小区内7000平米湖水，喷泉、瀑布、假山。春、夏、秋、冬四季皆是风景。春天花香弥漫，万紫千红；夏天枝繁叶茂，郁郁葱葱；秋天丹桂飘香，金风飒飒；冬天白雪皑皑，山寒水瘦。小区四季的美景如诗如画，美不胜收。
                  ","
                    万国城小区一期的正规三居室，户型方正，不缺边角，客厅带北向阳台观小区湖景，东向两个卧室都有飘窗，视野也可观湖景，这栋楼4电梯8户，套内使用率80%，且层高2.75米，是本小区塔楼里舒适度较高位置好的一栋楼。
                  ",,,,"
                    本房业主置换现在自住，诚意出售，看房方便，房子没有抵押，产权清晰。
                  ",,,,,
11,['满五唯一，中间楼层，不临街，没有遮挡'],610,99059,"['东城', '天坛']",2室1厅1厨1卫,中楼层 (共5层),61.58㎡,平层,61.58㎡,板楼,南 北,钢混结构,简装,暂无数据,自供暖,无,2023-11-12,二类经济适用房,2002-12-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，中间楼层，前后不临街，没有遮挡
                  ","
                    金鱼池小区总共分三个区：东区、中区和西区，位于东城区二环内，天坛公园的北侧，两广路的南侧，属于天坛商圈。金鱼池小区是回迁房和商品房相结合的社区，2002年底建成，总高5或7层的板楼，不带电梯。小区人车不分流，地上停车免费，地下车库350元/月
                  ","
                    金鱼池西区是2002年的回迁小区，本房位于3层，朝南采光好，无遮挡，卧室朝南带阳台，中间客厅带窗朝南，朝北卧室落地窗，明厨暗卫
                  ",,"
                    本房为回迁房性质，公房回迁，有3%土地出让金，契税首套1%，二套3%，无其他税费
                  ",,,,,,,
12,['东四块玉北街 1室1厅 东'],420,89438,"['东城', '左安门']",1室1厅1厨1卫,中楼层 (共6层),46.96㎡,平层,暂无数据,板楼,东,混合结构,精装,暂无数据,集中供暖,无,2023-11-02,商品房,2010-04-13,普通住宅,满五年,非共有,"
                                有抵押 28万元 建设银行 业主自还
                              ",已上传房本照片,,,,,,,,,,,,
13,['朝阳门内大街203号院文化部家属楼管理好'],660,121817,"['东城', '东四']",2室1厅1厨1卫,高楼层 (共6层),54.18㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,集中供暖,无,2023-11-03,已购公房,2014-12-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    文化部大院，南北通透2居室前后无遮挡，央产房满五年
                  ","
                    小区1980年建成的公房大院，2栋6层楼，一栋12层的高楼，独立的小区，有物业管理，小区供暖是独立的锅炉房，采暖效果很好，2017年小区完成了改造，上下水还有外保温都做好了，楼道干净没有小广告。
                  ","
                    房子是南北2居室，主卧室带阳台，次卧室朝北，通透性好，进门有个小餐厅，面积虽然不大，但是利用率很高。
                  ",,"
                    房子是央产房满五年不唯一，网签价可以过468万，适合多贷款的朋友，交易税费有契税，还有百分之1的个税。
                  ",,"
                    业主买房子是变现，很诚意出售，产权清晰没有任何纠纷，家里人都同意出售，没有抵押，可以随时走流程签约
                  ",,,,,
14,['中国海关家属楼南北两居中间层随时看房'],616,113257,"['东城', '灯市口']",2室1厅1厨1卫,中楼层 (共6层),54.39㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,暂无数据,集中供暖,无,2023-11-01,商品房,2009-09-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房子满五年唯一住房中间层物业管理好户型好南北通透8号线200米
                  ","
                    小区1988年建成的属于中国海关家属楼 物业管理好户型好出行方便 南边就是金鱼胡同，八号线金鱼胡同200米就是，小区一共六层主要一居两居三居三个户型，一居42米两居55米三居70米，这套属于本小区具有代表性的两居户型正好中间楼层方便中青年朋友使用。
                  ",,,,"
                    南边是王付井大街北边是灯市口大街，东边是东四南大街西边是王付井北街，新东安商场 王付井百货，工商银行，协和医院，距离地铁八号线金鱼胡同200多米距离地铁灯市口六号线300多米，协和医院距离600米，晚上吃完饭步行就可以去故宫筒子河散步。
                  ",,"
                    距离地铁八号线200米金鱼胡同 距离王付井新东安400米，距离灯市口地铁400米，公交车104路108路111路
                  ",,,,
15,['小黄庄一区 满5 福利分房 电梯高层 无遮挡不临街'],776,111032,"['东城', '安贞']",2室1厅1厨1卫,高楼层 (共12层),69.89㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯十户,集中供暖,有,2023-11-05,已购公房,2003-07-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房楼龄新，楼层好，视野宽阔，采光充足，配套齐全，交通便利
                  ","
                    位于东城区北二环三环之间，小内共10栋住宅楼，其中6栋电梯楼（全部有无障碍通道）南北2个社区花园，属于和平里地区为数不多的、有完整独立环境的社区，环境优美，大部分是部委的福利分房，人文素质高；建筑年代都是90年代的，适合公积金贷款客户，集中供暖。
                  ","
                    本楼是典型的、建设与90年代初期的电梯板楼，在北侧有一条走廊。本户型情况特殊，卧室都朝南，北侧没有卧房，所以隐私保护很好，既安静又舒适。
                  ",,,"
                    环球贸易广场，UME影院，美廉美，首航商场；安贞医院、中日、和平里医院，都是三甲。
柳荫公园，青年湖公园，地坛公园三大公园围绕，其中前两个带有水系以及假山，距离该小区都比较近，在您闲暇之余可以带着孩子和老人去游玩
                  ",,"
                    小区位于北三环里，交通方便，出小区西门是甘水桥公交站，有18 108 124 特11等公交路线，南门是小黄庄公交站有75 123等公交，向东就是5号线和平西桥，向北是10号线安贞门，往南地铁2号线安定门，向西是8号线安华桥，出行方便，交通便利。
                  ","
                    老幼：本房是电梯楼，老少皆宜，一楼有无障碍通道。楼层很好，视野开阔。
首付不高：已购公房，不受网签价468万的限制
家有老人：楼层好，配套齐全，小区门口就有菜市场，有公园、不临街、有三个三甲医院。
                  ",,,
16,['北二环安定门 阳光明媚 安静宜居 南北通透 满5唯一'],639,117313,"['东城', '安定门']",2室1厅1厨1卫,中楼层 (共6层),54.47㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,暂无数据,集中供暖,无,2023-10-29,已购公房,1999-12-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南北通透 满5唯一 中楼层 诚意出售 随时签约
                  ","
                    小区前面是青年湖公园，后面是柳荫湖公园，位置好，空气清新，单独一栋楼管理，小区安静，居住人员简单，停车方便，国企物业管理，24小时监控，居住舒适。
                  ","
                    户型方正，南北通透，主卧室朝南带阳台，次卧朝北，客厅和主卧室之间的墙可以动，客厅改动方便，采光好，安静不临街。
                  ",,"
                    房屋产权：已购公房  税费：房子满5年且是唯一住房，首套购房契税1%（二套3%），无增值税和个税，土地出让金：849.74元，产权清晰，无抵押，无纠纷，可正常交易；
                  ","
                    本房距离青年湖公园365米，距离柳荫公园169米，地坛公园477米，距离地铁2号线安定门站A口663米，距离地铁8号线安德里北街站B口1公里；距离地坛西门公交站376米；距离美廉美超市420米；距离和平里医院550米，配套齐全，交通便利。
                  ","
                    售房原因：变现  接受贷款  房屋现状：空置，楼层好，老少皆宜，随时可以看房，随时可以签约。
                  ",,,,,
17,['和平里六区 1993年楼龄 有电梯 带客厅 户型好'],720,117093,"['东城', '和平里']",2室1厅1厨1卫,低楼层 (共18层),61.49㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯七户,集中供暖,有,2023-11-12,商品房,2018-05-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房双南向，两梯七户，两间卧室都是南向的，有客厅楼新。
                  ",,,,,"
                    出行的话有公交116、674、684、特16、13、夜28路；地铁的话最近是和平里北街C口，距离小区600米左右，还有13号线柳芳站距离1000米左右；小区向西400米是地坛公园东门；向南直行200米是一个三层的美廉美商场方便购物
                  ",,"
                    出行的话有公交116、674、684、特16、13、夜28路等；距离小区800米左右就是地铁五号线和平里北街C口，距离1100米左右13号线柳芳站，（以上数据均来自于百度地图）
                  ","
                    此房电梯直达，低中层采光和视野都很好，适合家里有老人和孩子的，如果电梯维修也可走步梯。
                  ",,,
18,['东城 2号线东四十条  1998年明厨明卫 南卧南厅'],699,99858,"['东城', '朝阳门外']",2室1厅1厨1卫,底层 (共6层),70㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,集中供暖,无,2023-11-08,已购公房,2005-06-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    东城东二环外 2号线东四十条  1998年明厨明卫优质户型
                  ","
                    王家园胡同属于东城，东二环外，1998年，70年产权住宅，民水民电有燃气，集中供暖，封闭管理，配套完善。
                  ","
                    1998年建成房龄比较新，卧室，客厅，厨房和卫生间都是朝南，全南户型，明厨明卫。
                  ",,,"
                    新中街城市森林公园，日坛公园；三甲综合医院-陆军总医院，东直门中医院，儿研所，东直门社区卫生服务站，京客隆（三里屯店），物美超市，莱福仕购物，银座Mall ,三里屯购物广场等
                  ",,"
                    新中街/王家园胡同(路口)公交车: 113路、3路、701路、115路、118路、431路、特16路、515路、615路、44路、75路 东四十条桥东、工人体育场西门、工人体育馆、朝外北街。
                  ",,,,
19,['东花市 不临街中楼层三居 商品房 随时可看随时签约'],1170,106558,"['东城', '东花市']",3室2厅1厨1卫,中楼层 (共6层),109.8㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-08-13,商品房,2017-10-16,普通住宅,满五年,非共有,"
                                有抵押 470万元 中国工商银行 客户偿还
                              ",已上传房本照片,"
                    此房满五年 原值高 中间楼层不临街 随时看房随时签约
                  ","
                    ①小区是天鸿集团开发，天鸿物业，基本是1993年左右楼龄，当时的居住人群大多以：中国华能集团、国家质量监督总局、海关总署、国有四大银行及中信银行等单位。②建筑质量过关:用的是军用水泥，建筑质量好。③小区全是liu'cen矮板楼，安静宜居
                  ","
                    小区是1994年左右的社区，双卧和客厅朝南，采光充足；餐厅分离，独立安静。南北通透，室内时刻保持空气清新。楼层好，前后不临街，视野开阔。
                  ",,,,,,"
                    孕婴老幼：本房一直是业主自住，目前保养很好，可以拎包入住。 改需改善：满五唯一，适合贷款买房的客户，税费方面很少。 家有老人：双卧朝南，给老人和孩子足够阳关，南北通透，居住舒适。
                  ",,,
20,['朝阳门南小街 南北通透两居   有电梯'],769,110712,"['东城', '朝阳门内']",2室1厅1厨1卫,中楼层 (共10层),69.46㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯三户,自供暖,有,2023-11-10,二类经济适用房,2015-05-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    朝阳门，金宝街，南北通透两居室，满五年，有电梯
                  ","
                    小区是2004年建成的社区，小区绿化好，环境好，可停车。物业管理严格，居住人群素质高。
                  ",,,,"
                    小区配套齐全，公交线路有24路、63路；地铁有1号线、2号线和5号线；医院有协和医院、同仁医院和陆总；生活超市物美和朝内菜市场，距离上步行即可到达。
                  ",,"
                    出小区往东800米（数据来源百度地图）有地铁朝阳门站：2号线/6号线 ，往西1500米有东四地铁站：5号与6号线，出行方便 公交线路有：24路/63路/109路等，交通便利，出小区就是朝阳门南小街主路，往东500米就是东二环主路，开车出行也很方便。
                  ",,,,
21,['东二环 东城区 东直门外大街 南北通透满五年两居'],560,95433,"['东城', '东直门']",2室1厅1厨1卫,中楼层 (共14层),58.68㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯八户,集中供暖,有,2023-11-25,已购公房,1996-10-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    东直门外大街小区 满五年非唯一已购公房， 业主诚意出售
                  ","
                    东直门外大街为1990年建成的临街住宅楼，以路为名。该小区全部为高层的板楼属性，房屋的通风效果比较好。而且小区的地理位置不错，西边800米就是东直门地铁站【2号线和13号线】，东边是三里屯和工体，生活娱乐氛围好
                  ","
                    此房子两个卧室朝南，主卧带阳台，采光很好，没有遮挡，厨房朝北不临街，暗卫。
                  ",,,"
                    商场配套有来福士，东方银座，永利国际等大型购物商场；医疗配套包括东直门医院和陆军总医院等三甲医院，公园配套有南馆公园，亮马河公园以及新中街城市森林公园；菜市场有春秀路菜市场和小关菜市场
                  ",,"
                    东直门外大街，小区距离东直门交通枢纽930米，地铁是东直门地铁，是 2号线、13号线、机场快轨的换乘站，交通便利。小区北侧是机场高速，驾车到机场高速入口1公里距离。以上距离数据来自百度地图。
                  ",,"
                    房本不满五年，非唯一住房，个税按1%收。目前无抵押为银行贷款抵押，产权清晰。
                  ",,
22,['东直门 有电梯 明厨明卫东西通透 小区封闭式管理'],549,98494,"['东城', '东直门']",2室1厅1厨1卫,低楼层 (共12层),55.74㎡,平层,暂无数据,板塔结合,东 西,钢混结构,简装,两梯十三户,集中供暖,有,2023-11-19,已购公房,2003-09-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房满五年唯一，东西通透，把边户型 明厨明卫 采光好，环境好。
                  ","
                    小区为1990年后建成的高板楼，2018年底小区进行了市政改造，小区内有南北两个社区小花园、健身器材、停车位等，东西两个大门，近地铁，设施齐全。
                  ","
                    有电梯还是明厨明卫 东西通透，楼层 方便老人小孩居住，采光无挡，格局好。
                  ",,,"
                    小区位于东直门桥东侧，2号线/13号线/机场快轨东直门站300米，娱乐购物有来福士、银座、三里屯、等商城，医院有东直门医院、陆军医院，煤炭医院，生活购物有小关菜市场，休闲遛弯西边有亮马河公园，亮马河景观带，交通，购物、饮食、医疗给您的生活提供便利
                  ",,,,,,
23,['地坛北里南北通透中间楼层林业部楼环境好'],650,115927,"['东城', '和平里']",2室1厅1厨1卫,中楼层 (共5层),56.07㎡,平层,56㎡,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-14,商品房,2014-09-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一，南北通通透，明厨明卫，前后花园
                  ","
                    小区闹中取静，绿化好，停车方便，邻地坛公园和地坛五号线和平里北街站，旁边还有和平里医院，交通购物很方便。
                  ","
                    南北通透，明厨明卫，还带个很方正的饭厅，中间楼层，通风好，采光视野好，前后无遮挡。此楼是林业部的房子，楼的质量和管理好，
                  ",,,,,,"
                    地坛北里小区位于地坛公园北门，去地坛公园就像去自己家私家花园一样很方便，很适合老人和孩子的家庭。
                  ",,,
24,['新上 东城龙体 中间楼层 正规两居室 户型方正'],469,79857,"['东城', '左安门']",2室1厅1厨1卫,中楼层 (共6层),58.73㎡,平层,暂无数据,板楼,东 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-20,商品房,2015-09-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    新上 二环里 东城龙体 中间楼层 低总价 正规两居室 户型方正
                  ",,"
                    东 北 两居室，户型方正 格局合理 没有浪费面积 主卧室朝东和朝北两个窗户光线很充足，很亮堂。次卧室朝北无遮挡，自然光充足。厨房改到东侧阳台了，留出来宽敞的明客厅了。
                  ","
                    2016年重新装修的，一直自己住，房子保持的很好，基本可以拎包入住。
                  ",,,,"
                    小区门口有左安门内公交站，有12路 352路 84路 139路多趟公交车路过。小区南侧840米是14号线东段方庄地铁站A口，南侧260米是南二环左安门环岛 出行便利
                  ",,,,
25,['东直门内大街  南北向 电梯直达 无遮挡 满五年唯一'],960,104884,"['东城', '东直门']",3室1厅1厨1卫,中楼层 (共16层),91.53㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯十户,集中供暖,有,2023-11-16,二类经济适用房,2004-04-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    交通便捷、精装三居室户型、无遮挡、满五唯一
                  ","
                    本小区为2003年的回迁小区，位于东直门桥西南角，小区内共有9栋楼，其中2栋6层板楼，3栋高层板楼，4栋塔楼，24小时门卫，小区有绿化有花园和健身小广场，适合茶余饭后休闲散步，更适合有老人和孩子的家庭！
                  ","
                    本小区是2003年建成，户型设计整体比较合理；客厅朝北有阳台大约有27平米（阳台可以直观鸟巢及簋街夜景）；两间次卧室的空间也宽敞比较好利用；主卧室超南，南侧没有遮挡直观小区花园，厨房卫生间都有窗户，便于通风换气；
                  ",,,,,"
                    本小区位于东直门桥的西南角；出行很便利，地铁有2号线，13号线，机场快轨东直门是换乘站；开车出行出小区往东是东二环主路，往北是机场高速！出小区北门有公交车站东直门内大街站（106.107.635.24等多条公交车）
                  ",,,,
