,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,周边配套,税费解析,小区介绍,适宜人群,交通出行,装修描述,售房详情,权属抵押,用水类型,用电类型,燃气价格,别墅类型
10,['：世嘉光织谷西区  楼层好 视野宽阔 采光充足'],230,24772,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共6层),92.85㎡,平层,79.73㎡,板楼,南,钢混结构,简装,一梯三户,集中供暖,有,2023-10-14,商品房,2013-04-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    世嘉光织谷西区 楼层好 视野宽阔 采光充足
                  ",,"
                    滨河森林公园医院：怀柔医院，怀柔中医医院、怀柔妇幼保健院，怀柔区雁栖镇医院
                  ",,"
                    小区环境美，低密度花园洋房，半人车分流，外围一圈走机动车，内围适合小孩子玩耍。
                  ","
                    适合一家人，老人小孩都可以，电梯洋房。半人车人流，小孩在小区公园内游玩很安全。
                  ","
                    交通出行便利，距离怀柔县城近，京密路，京承高速； 小区外面有共享单车租赁，有专门的骑车赏景路线。
                  ",,,,,,,
11,['茶坞铁路南北通透低楼层满五年唯一业主诚意出售'],159,13649,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共5层),116.5㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,暂无数据,2023-06-29,商品房,2020-05-13,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，南北通透格局，楼层高，视野宽阔
                  ","
                    南北通透，主卧客厅朝南，次卧，厨房朝北，采光充足，南北双阳台
                  ",,,"
                    小区配套齐全，生活超级，小区内有幼儿园，超市，菜市场，居委会！小区居住安静舒适！
                  ",,,,"
                    业主诚心出售，诚实守信，房屋空置，偶而自住看房提前联系，欢迎看房
                  ",,,,,
12,['兆龙居小区 低楼层 采光很好 简装大三居'],200,25573,"['怀柔', '怀柔']",3室1厅1厨1卫,底层 (共6层),78.21㎡,平层,56.82㎡,板塔结合,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-03-06,商品房,2006-04-05,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    房本满5年 低楼层 大三居 采光很好 适合上班，生活
                  ","
                    小区楼间距大，属于1993年建成，次卧室和厨房朝北，两个卧室朝南。使用率高，南侧是北京市射击运动技术学院
                  ",,"
                    房屋为商品房，房本满5年，共有产权 房子产权清晰，业主随时签约。
                  ","
                    适合在这上班，生活，宜居 小区西侧是环湖东路，怀柔水库 晚上散步方便，景色好。距离青春路七院公交站比较近。
                  ",,,,,,,,,
13,['柏泉庄园雁鸣园B区，诚意出售，可以随时签约，不临街'],135,19603,"['怀柔', '怀柔']",2室1厅1厨1卫,低楼层 (共13层),68.87㎡,平层,56.51㎡,板塔结合,南,钢混结构,简装,一梯四户,集中供暖,有,2023-05-02,定向安置房,2015-05-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    看这里，此房满五年，唯一，无抵押，无贷款，采光好，不临街。
                  ","
                    小区楼龄是2013年，一共9栋楼，楼间距足够宽，采光好，户型是纯朝南的两居室，南侧可以看到花园
                  ",,,,"
                    房子适合初期在北京买房的客户，总价低，压力小，生活成本低。。
                  ","
                    配套齐全：小区西门挨着是一个公园，进出方便，平时带着孩子遛遛娃，跑跑步
                  ",,,,,,,
14,['房子满五唯一 南北通透  格局方正 诚意出售'],230,26698,"['怀柔', '怀柔']",3室1厅1厨1卫,底层 (共6层),86.15㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-03-21,商品房,2016-12-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，前后无挡采光好，配套设施齐全，交通便利。
                  ","
                    小区是成熟社区，房子是南北通透的三居，户型方正无浪费，诚意出售！
                  ",,,,,"
                    小区出口有公交车站，快车916，京承高速直达东直门，内环 H61 外环 H62等多条线路在此经过，交通便利。
                  ",,,,,,,
15,['泊岸小区  小区环境好   业主诚意出售  满五年'],370,34913,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共6层),105.98㎡,平层,暂无数据,板楼,东 南 西,钢混结构,精装,暂无数据,集中供暖,暂无数据,2023-08-09,商品房,2014-03-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    2012年带电梯社区，花园洋房，南北西朝向
                  ",,"
                    小区西侧有环湖东路，顺着环湖东路往南有怀山柔水公园，坐在山顶的小亭里看风景，吹吹风，傍晚绝美的夕阳，~怀柔真的很舒服~。公交站，湖光小区站，滨湖北街西口公交站，有公交车916快（怀柔汽车站-东直门），小区旁有万达广场，怀柔中医医院。
                  ",,"
                    泊岸小区2012年建成，花园洋房，小区一层和顶层是跃层，中间平层户型。集中供暖，70年产权商品房住宅，本小区共8栋，192户。建筑类别有：板楼和塔楼。小区人车分流，地下有产权车位。
                  ","
                    适宜人群：
本房总高6层带电梯，适合家里有老人，小孩的人群，本房西侧观怀柔水库，适合喜欢观景的人群
                  ",,,,,,,,
16,['此房一层的，出入方便，视野宽阔，采光充足'],279,30973,"['怀柔', '怀柔']",2室1厅1厨1卫,底层 (共8层),90.08㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,2023-08-14,商品房,2021-04-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    急售价钱可议，随时签约，低楼层出行方便。
                  ",,,,,"
                    小区环境好，车位规划整齐，物业认真负责，治安管理好，封闭性好，私密性更高，适宜不同年龄段人居住
                  ","
                    小区旁边公园有：万米公园、滨湖公园、青春路公园。银行有：建设银行、工商银行、邮政储蓄银行。商场有：青春万达广场、京北大世界等。
                  ",,"
                    业主诚心出售，业主着急出售，诚心卖，看房提前联系一般都能看，业主随时可以签约，价格可以见面商量
                  ",,,,,
17,['金台园南北三居 二层 户型方正 看房方便'],205,26293,"['怀柔', '怀柔']",3室1厅1厨1卫,低楼层 (共6层),77.97㎡,平层,暂无数据,暂无数据,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-08-03,商品房,2007-01-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房南北通透三居室，二层，满五唯一，诚心出售，户型方正
                  ","
                    此房原户型是南北通透的三居室，两南一北，两个朝南卧室中间墙是非承重墙，业主把两个朝南卧室中间墙打通后做成一个大卧室。
                  ",,,"
                    商场：京北大世界，青春万达广场，京客隆，大星发大卖场，小区蔬果店 公园：青春路公园，滨湖公园，万米公园，金台园公园 医院：怀柔区区医院，怀柔区中医院，怀柔妇幼保健医院，社区医院 交通：916快车，916区间车，H61,H62,H63,H64,各区间车。
                  ",,,,,"
                    产权清晰无纠纷，单独一个人的本，无抵押，交易流程简单，可以直接办理手续。
                  ",,,,
18,['小中富乐二区，格局好，南北通透'],230,25736,"['怀柔', '怀柔']",3室1厅1厨1卫,高楼层 (共6层),89.37㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2023-03-22,商品房,1995-11-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    优质好房，干净整洁，业主诚心出售，南北通透
                  ",,"
                    小区旁边有商店，万达广场，京北大世界 ，大星发大卖场 ，公园，银行！ 医院有妇幼保健院，公交站：916快车、内环和外环，乘车比较方便，有公园和休闲场所
                  ",,,"
                    此房子适合众多人群，生活购物商场市场齐全，接孩子上下学方便。
                  ","
                    公交站点：小区相应站点有916快车、内环和外环及区间车，出行方便。
                  ",,,,,,,
19,['南北通透，2居户型 业主诚意出售，可随时签约'],155,27193,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共5层),57㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,暂无数据,无,2023-09-03,商品房,2016-10-25,普通住宅,满五年,非共有,"
                                有抵押 80万元 公积金 客户偿还
                              ",已上传房本照片,"
                    此房为南北通透，视野宽阔，采光充足，配套设施齐全，交通便利。
                  ","
                    此房南北通透两居室，南边一个卧室，北边一个卧室，客厅在中间。
                  ","
                    京北大世界商场，青春万达广场，怀柔步行街，万米公园！怀柔水库！
                  ",,,,"
                    小区出行方便，有公交车站。916通往东直门，866通往望京西地铁站。861城区内环，862城区外环
                  ",,,,,,,
20,['电梯房  南北通透 业主诚意出售 随时签约'],150,22793,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共9层),65.81㎡,平层,50.61㎡,板楼,南 北,钢混结构,简装,暂无数据,集中供暖,无,2023-10-26,商品房,2013-10-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，南北通透，格局好，采光充足。
                  ",,"
                    医院：距离怀柔区雁栖社区医院1.1公里，距离北京市怀柔区妇幼保健院2公里，距离北京怀柔医院3.4公里。 公园：距离怀柔城市森林公园3.4公里，距离滨湖万米健身公园2.7公里。 超市：距离起跃强超市71米，距离森林鲜生超市129米，距离华福永鲜超市50米。
                  ",,,"
                    适合各种人群居住，尤其是老人和孩子，有电梯房 上下楼更方便些，可以满足不同家庭的生活需求。
                  ","
                    公交车站：距离光织谷站92米，距离雁栖一品园站246米，距离光织谷东站508米。本小区在京承高速出京方向14出口怀柔城区方向，下了京承高速直接上高架桥雁栖湖方向，上桥后从第二出口处下桥，即可到达小区，交通便利。
                  ",,,,,,,
21,['此房诚心出售，低楼层前后都没有遮挡采光和视野很好'],163,22849,"['怀柔', '怀柔']",2室1厅1厨1卫,低楼层 (共6层),71.34㎡,平层,暂无数据,暂无数据,南 北,混合结构,简装,暂无数据,暂无数据,暂无数据,2022-08-10,商品房,2006-03-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一采光不错，南北通透，楼层底层
                  ",,,,,"
                    家有老人的话方便出行小区环境好 上班族方便 中年人带孩子一起住
                  ","
                    小区外有多路公交车站，快车916，上高速直达东直门，916内环 H61等多条线路在此经过，比较便利。
                  ",,,"
                    此房是业主一人的房本，此房产权清晰，无抵押和其他债务纠纷，可以放心购买。
                  ",,,,
22,['新贤家园 2室1厅 南 北'],314,37786,"['怀柔', '怀柔']",2室1厅1厨1卫,低楼层 (共11层),83.1㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,集中供暖,暂无数据,2023-08-18,商品房,2013-08-07,普通住宅,满五年,非共有,"
                                有抵押 150万元 客户偿还
                              ",已上传房本照片,,,,,,,,,,,,,,
23,['龍祥小區   满五唯一   中间楼层   看房有钥匙'],145,28719,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共7层),50.49㎡,平层,暂无数据,板楼,南 西 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-12,商品房,2023-10-31,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子2007年建成 芳龄新  满五唯一  客厅带飘窗  采光好
                  ",,"
                    小区门口右边是商店，出小区往东20米是东来顺饭店，出小区500米是怀柔中医院小区
                  ",,"
                    小区内有绿地，绿地边有配套设施，适合锻炼，很多小朋友放学后再此玩耍交朋友
                  ",,"
                    小区门口就有H62路公交车，出小区门左转大概400米就有916路和H61路公交车
                  ",,,,,,,
24,['万通龙山新新小镇看房方便业主诚意出售'],580,23122,"['怀柔', '怀柔']",4室3厅1厨3卫,底层 (共2层),250.85㎡,复式,暂无数据,暂无数据,南 北,混合结构,简装,暂无数据,暂无数据,暂无数据,2023-09-29,商品房,2023-09-04,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    业主诚心出售房子南北通透后有固定车位
                  ",,,,,"
                    房子旁边就是京承高速第14出口，小区安静，绿化高，物业管理严格，适合第二住所，居家老人长期居住，怀柔空气质量好，风景优美，生活节奏低，配套医疗齐全。
                  ","
                    一般适合自驾出行，近主城区的话有，公交866，到达地铁望京站 916，916快直达西坝河，自驾是京承高速怀柔站，高铁站在怀柔南站杨宋。
                  ",,,"
                    房子没有抵押，满五年唯一，具体税费欢迎咨询！根据您实际情况给您计算。
                  ",,,,
25,['东关一区、业主急售，总价175万'],175,19853,"['怀柔', '怀柔']",3室1厅1厨1卫,中楼层 (共7层),88.15㎡,平层,78.51㎡,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-08-24,商品房,2014-02-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，中间楼层，南北通透， 采光好
                  ","
                    此房南北通透格局，通风好，格局好，双阳台，户型方正没有浪费面积，
                  ",,,,,"
                    繁华商圈，门口就有多趟公交站可满足日常的交通出行，开车走开放路，上京承，京密路都很方便，
                  ",,"
                    业主诚意出售，房屋变现，房屋产权清晰，没有抵押，随时可签约，
                  ",,,,,
26,['满五唯一 南北通透 业主自住 可随时签约'],185,20867,"['怀柔', '怀柔']",3室1厅1厨1卫,底层 (共5层),88.66㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-09-04,商品房,2017-05-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，南北通透，业主自住，看房方便
                  ","
                    此房是6层无电梯板楼，光混结构，户型上南北理想户型。楼龄是2002年的，楼龄较新，配套设施齐全，高楼层无遮挡，采光好，24小时门禁管理，楼道干净，楼梯无损伤。人文素质高
                  ","
                    本小区建于2003年，属于成熟小区，车位配比1：2，车位充足，绿化30%，绿化适中，居住舒适，距离下元公交站167米（高德地图数据）916直达东直门，益德中西医结合肺科医院330米，京客隆218米，滨湖公园832米，银行该有的都有，配套相当齐全。
                  ","
                    房屋产权：满五年唯一的商品房，税费简单，增值税免，个税免，只有购房契税，首套购房契税1.5%，二套是3%，在就是工本费了。产权清晰哦。
                  ",,"
                    小区独立院落管理，院里三栋楼，此房不临街，人车分流，环境好。 贷款方式不限，适合多数购房客户。 楼北边就是京客隆购物很方便，公交，公园都在500米范围内，出行便利
                  ",,,,,,,,
27,['礼贤街南北通透两居室采光好出行便利'],144,24862,"['怀柔', '怀柔']",2室1厅1厨1卫,低楼层 (共6层),57.92㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-07-08,商品房,2015-11-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年 南北通透两居室 二层全明格局 适合一家人居住
                  ",,,,"
                    小区的 配套齐全，设施完备，物业管理完善，保安24小时值班，住户素质高。社区主流健康向上，社区风气良好，邻里关系和谐
                  ",,"
                    距离礼贤街公交站400米（根据高德地图），有H56路，H61路，H64路公交车；距离京密高速2公里（根据高德地图）出行方便。
                  ",,,"
                    房子没有任何抵押，可以直接走手续。业主诚心出售，看房提前预约，
                  ",,,,
28,['电梯房 两面采光 无遮挡 视野宽阔'],300,25644,"['怀柔', '怀柔']",3室1厅1厨1卫,顶层 (共9层),116.99㎡,平层,暂无数据,板楼,西南,钢混结构,精装,一梯三户,集中供暖,有,2023-02-10,商品房,2017-12-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房为西南朝向，电梯房，视野宽阔，采光充足
                  ","
                    此房子为西南朝向，三个卧室朝南，客厅朝西，两面采光，无遮挡。
                  ",,,,"
                    房子为电梯房，适宜各种人群，业主诚意出售，可随时看房，随时签约
                  ",,,,"
                    房屋无抵押，产权清晰，业主也诚意出售，看房方便，可随时签约。
                  ",,,,
29,['青春路七院 南北通透 格局方正  装修好'],175,28059,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共6层),62.37㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-04-06,商品房,2017-07-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    卖点： 此房 交通便利 怀柔城区生活方便
                  ",,,,"
                    小区介绍： 此房小区环境好 小区坏境干净整洁 封闭式小区 小区配套设施完善 交通便利
                  ","
                    适宜人群： 适合准备结婚的夫妻 小区环境好 交通便利 楼下就有公交车站.
                  ","
                    交通出行： 有建设银行 中医院 公交车站 916快车 内环861 外环862
                  ",,,,,,,
30,['金台园    精装修三居室    采光好   有车peng'],225,28858,"['怀柔', '怀柔']",3室1厅1厨1卫,中楼层 (共6层),77.97㎡,平层,暂无数据,暂无数据,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-10-14,商品房,2004-08-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    精装修拎包入住 4层南北通透小三居户型
                  ",,"
                    商场：青春万达广场 京北大世界 京客隆 大星发大卖场 公园：滨湖公园，青春路公园，万米公园 医院：怀柔区医院（三甲医院），怀柔区中医院，怀柔妇幼保健医院 交通：916快车，916区间车，H61内环,H62外环，及各区域区间车
                  ",,,,"
                    交通：916快车，916区间车，H61内环,H62外环，及于家园总站各区域区间车
                  ",,,"
                    业主诚意卖，房子产权清晰，没有抵押，没有纠纷，可以随时签约，随时过户
                  ",,,,
31,['长城溪溪小镇看房方便业主急售适合价格可以商量'],69,11547,"['怀柔', '怀柔其它']",2室1厅1厨1卫,低楼层 (共3层),59.76㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2022-11-18,商品房,2011-06-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北向，采光充足，景色怡人，楼层不高，设计合理
                  ",,,,"
                    小区环境优美，依山傍水，空气质量好，集中供暖，民水民电，车位充足
                  ","
                    首付不高，贷款方式不限，总价低，适休闲度假和退休群体的人群居住。
                  ",,"
                    房子中等装修，装修材料均为环保产品，各居室设计合理，适合居住。
                  ",,,,,,
32,['漪澜鑫筑   视野宽阔  采光好'],330,24565,"['怀柔', '怀柔']",3室1厅1厨2卫,顶层 (共24层),134.34㎡,复式,暂无数据,塔楼,南,钢混结构,其他,两梯八户,集中供暖,有,2023-10-09,商品房,2007-07-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    采光好视野开阔，环境好   可以看到水库
                  ",,"
                    生活很便利，有大星发市场，麦当劳，生鲜市场，全聚德，公交车站，916快（直达市区），H61，H62（环城公交）
                  ",,"
                    本房单独小区管理，人文环境好，车位规划整齐，物业认真负责，环境好适宜居住
适宜人群：小区单独一栋楼单独小区管理小区有电梯适合家里有老人孩子的居住车位规划整齐物业认真负责环境好适宜居住
                  ",,"
                    距离湖光小区车站150米左右，可再此换成916快车，916慢车。可到达东直门枢纽站
                  ",,,,,,,
