,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,适宜人群,户型介绍,税费解析,周边配套,交通出行,装修描述,权属抵押,售房详情,用水类型,用电类型,燃气价格
10,['钢混电梯房 81平米 单价6万3 有车位！ 满五唯一商品房'],510,62963,"['海淀', '玉泉路']",1室1厅1厨1卫,低楼层 (共11层),81㎡,平层,暂无数据,板塔结合,东南,钢混结构,简装,两梯八户,集中供暖,有,2023-11-22,商品房,2015-05-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    电梯房不临街，大客厅，满五唯一商品房，无占用，产权清晰
                  ",,,"
                    东向大一居，卧室有南向窗户，大客厅，不临街，安静，卫生间干湿分离，厨房有东向窗户，无适龄儿童占用。业主诚心出售，看房方便，周期可谈。
                  ",,"
                    小区配套设施成熟，小区南门出来是阳光星期八公园免费的休闲公园，方便老人孩子玩耍散步，小区东边有永辉，距离京粮广场1.6公里，购物方便，配套设施齐全，生活便利。航天部医院距离小区450米（数据来自高德地图）
                  ","
                    小区出行方便，小区东门出来有507和568路公交，可直达1号线玉泉路，五颗松站，小区南门出来有612路/481路/78路等公交车，小区西门出来距离地铁6号线田村站936米，南门出来距离1号线玉泉路站1.5公里（以上数据均来源于高德地图）
                  ",,,,,,
11,['花园别墅正规四居室 客厅大面宽采光无遮挡 钥匙随时看'],958,74669,"['海淀', '马连洼']",4室1厅1厨2卫,中楼层 (共6层),128.3㎡,平层,暂无数据,板楼,东 西,混合结构,精装,暂无数据,自供暖,无,2023-11-07,商品房,2018-03-22,公寓,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五商品房，格局好，中楼层视野好，业主诚意出售
                  ","
                    小区地处西北五环外肖家河商圈，由圆明园花园开发商开发，一共分三期，一期1998年建成，二期2000年建成，三期2003年建成，物业是“北京瑞赢酒店管理有限公司”，物业费带电梯的2.56元/㎡，不带你电梯的2.18元/㎡，地上车位可租150元/月；
                  ","
                    本房是板楼，一梯两户，大面宽采光好，上下楼方便，正规四居室，配套齐全
                  ",,,"
                    有华联商场，309医院，幼儿园，菜市，电影院，银行，圆明园，颐和园，百望山森林公园
                  ",,,,,,,
12,['海淀区西三旗沁春家园复式三居 精装修 满五唯一'],700,51929,"['海淀', '西三旗']",3室2厅1厨2卫,顶层 (共6层),134.8㎡,复式,暂无数据,板楼,南 北,混合结构,精装,暂无数据,自供暖,无,2023-11-12,商品房,2014-03-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一的商品房，南北通透，客厅落地阳台，采光好
                  ","
                    小区是2000-2005年建成的商品房小区，一共14栋楼，密度小，绿化高，居住舒适。小区物业比较负责，进出有门禁，社区内有摄像头，安全性高。小区内有幼儿园，接孩子方便。
                  ",,"
                    房子户型是复式格局里比较好的，南北卧室都有阳台，客厅是落地阳台，所以采光很好，屋内比较敞亮。房子楼上楼下都是正常的层高，装修保持的很好，比较节省装修成本
                  ","
                    房子是满五年且唯一的商品房，首套只有1.5%的契税，二套3%的契税，节省您购房的总成本。
                  ","
                    小区东侧大约300米有公园，还有西三旗百汇市场以及早市，购买日常生活用品很方便，且物美价廉。小区门口公交车多，东北门距离地铁8号线育新站约950米，出行方便。（以上数据来源于百度地图）
                  ",,,"
                    房子产权清晰，可放心交易，业主卖房主要考虑是变现，诚意出售。
                  ",,,,
13,['永金里小区 满五唯一商品房 30万精装修三居 随时可看'],860,71081,"['海淀', '五棵松']",3室1厅1厨2卫,低楼层 (共6层),120.99㎡,平层,暂无数据,板楼,东 西,混合结构,精装,暂无数据,集中供暖,无,2023-11-07,已购公房,2006-12-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，房子在2层，东西通透随时签约价格可谈
                  ","
                    永金里小区位于西四环中路和阜石路西南角300米，沿着永定河呈扇形分布，整个小区不临街安静，总共15栋住宅楼和一栋物业楼，保安24小时执勤，停车方便，管理完善配套齐全，有永辉、服务驿站，小区有花园、乒乓球场、老年门球场、健身场所。
                  ",,,,"
                    有万达广场五棵松店、华熙下沉式广场、五棵松奥林匹克文化公园、301医、家乐福、北京银行、农业银行、工商银行等生活方便.
                  ","
                    永金里小区位于地铁1号线五棵松站北边1600米，离定慧桥南公交站台368米（此数据来自百度地图）有56路、481路、611路、982路等公交经过此地，开车出小区可直接上阜石路或者四环，交通便利。
                  ",,,,,,
14,['田村山南路9号院 南北三居室 满五年唯一 不临街 诚售'],598,71438,"['海淀', '玉泉路']",3室1厅1厨1卫,顶层 (共4层),83.71㎡,平层,82.2㎡,板楼,南 北,钢混结构,简装,暂无数据,集中供暖,无,2023-11-18,已购公房,2002-07-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是满五年唯一，西南北三居室，无遮挡，不临街，低密度社区
                  ","
                    小区是2001年的公房社区，航天单位分房，环境比较安静，小区总共5栋板楼，都是航天职工，素质都比较高，小区24小时保安值班
                  ",,"
                    此房是南北三居室，两个卧室朝南，主卧室带阳台，客厅朝西，西向无遮挡，另外一个卧室朝北，卫生间干湿分离。房子格局好，不临街，客厅挑高3米，视野好。
                  ",,,,,,"
                    售房原因：业主诚意出售，周期暂时无要求。 抵押情况：房源没有抵押，房本很干净，交易节省时间成本。
                  ",,,
15,['上地东里 4室2厅 东 南 北'],1250,84176,"['海淀', '上地']",4室2厅1厨2卫,顶层 (共6层),148.5㎡,复式,暂无数据,板楼,东 南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-19,商品房,2017-03-13,普通住宅,满五年,非共有,"
                                有抵押 1万元 客户偿还
                              ",已上传房本照片,,,,,,,,,,,,,
16,['学院路品质社区 安静舒适 此房光线充足 南北皆为绿化'],1315,101420,"['海淀', '学院路']",3室2厅1厨2卫,中楼层 (共16层),129.66㎡,平层,111.46㎡,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2023-11-13,商品房,2007-08-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一商品房，南北通透 中间楼层无遮挡，产权清晰
                  ","
                    小区建成于2005年，为商品房社区，居住人群主要是以高校教职工为主，社区整体不临街，很安静。小区共五栋楼，围绕小区花园分布，内部环境优美，绿树成荫，有供居民歇息的廊亭，也有给小朋友嬉戏的乐园。
                  ",,"
                    2005年的商品房社区，两梯四户的板楼，主卧室朝南带阳台，阳台为落地窗，两卧室和客厅朝北带飘窗。厨房朝北带一个小阳台。房子每个窗户都比较大，光线可以很好的进入到房屋内，让室内很明亮。房子建筑面积129.66㎡，套内建筑面积111.46㎡，得房率较高。
                  ","
                    房子为商品房性质，满五年唯一，首套购房，会有网签价格1.5%的契税，二套会有网签价格3%的契税，税费成本是比较低的
                  ",,,,"
                    房子产权清晰，一手业主，产权年限已满五年，业主家庭名下唯一住宅，可以签约以及办理手续。
                  ",,,,
17,['知春路82号院板楼四居已经加装完电梯'],1150,127495,"['海淀', '双榆树']",4室1厅1厨1卫,中楼层 (共5层),90.2㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,2023-11-21,商品房,2011-01-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房是南北通透的四居，户型格局好，有电梯
                  ","
                    知春路82号院是航天五院的家属院，小区一共有10栋楼，其中有3栋塔楼、7栋板楼，小区在两年前集中升级改造了，小区路面、绿化全部美化了一遍，板楼基本上都加装电梯了，且小区还带有地下停车库，华润物业管理，居住体验感直接拉满！！！
                  ",,,,"
                    小区出南门就是水果店，菜店，稻香村，五金店等便民店。小区向南400米是京客隆，派力斯游泳健身会所。再向南300米是物美卖场，苏宁易购。还有双安商场，当代商城。往西五百多米还有知春公园。
                  ","
                    出小区北门就是知春路，下楼步行300米就是知春里地铁站和公交站台，交通出行很便利；
                  ",,,,,,
18,['新外大街3号院 有研大院 满五唯一 近地铁 车位充足'],650,84857,"['海淀', '小西天']",3室1厅1厨1卫,顶层 (共3层),76.6㎡,平层,57.5㎡,板塔结合,东,混合结构,简装,暂无数据,集中供暖,无,2023-11-23,已购公房,2001-05-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一公房，有研大院，近地铁，安静不临街，停车位充足
                  ","
                    本社区是有色金属研究总院宿舍（有研西院），主要居住人群都是本单位职工，本社区内有单位公立幼儿园（有色金属研究总院幼儿园），社区医院（有研社区服务）可以医保就医，有健身器材和社区中间小广场。本社区是被控物业管理，今年新铺设地面干净整洁
                  ",,,"
                    满五年唯一央产房，无抵押，首套契税1%，税费低，降低您的购房成本
                  ","
                    三环内小区环境大，楼龄较新，停车方便，百度地图300米到北太平庄地铁口，550米到双秀公园，小区内有蔬菜站，卫生服务站，幼儿园，活动广场等，适合有老人和孩子的一家人居住生活
                  ","
                    本社区东门向北200米就到达地铁19号线北太平庄站（百度地图可查），地铁12号线正在建造，预计2023年年底建成。出小区东门就是公交车站北太平桥南站。公交线路有：22路，47路，135路，88路等，交通十分便利。
                  ",,,,,,
19,['中关村知春路地铁站 带电梯三室两卫全南向'],950,77761,"['海淀', '中关村']",3室2厅1厨2卫,低楼层 (共20层),122.17㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,2023-11-19,商品房,2001-06-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年全南向三居，业主诚意出售随时签约
                  ","
                    小区是98年建成的商品房，两栋楼围成一个小区，停车位方便，有地下车库，楼道每天有专人打扫卫生，进出门刷卡，门口24小时保安，小区有24小时热水
                  ",,"
                    房子是朝南三居室，双卧朝南带阳台，主卧带独卫，格局方正，没有浪费面积，中间楼层，前后无遮挡，采光和视野好
                  ",,,,,"
                    房子产权清晰：单独房本，无查封，无异议登记，可随时签约交易。
                  ",,,,
20,['冠城大通百旺府 三阳三居室 南北通透'],1070,89683,"['海淀', '海淀北部新区']",3室2厅1厨2卫,中楼层 (共11层),119.31㎡,平层,99.19㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,2023-11-18,商品房,2018-04-26,普通住宅,满五年,非共有,"
                                有抵押 240万元 浦发银行 客户偿还
                              ",已上传房本照片,"
                    百旺府四区三居，电梯直通地下车库，高楼层，观山视野开阔。
                  ","
                    小区绿化高，都是6-11层的洋房和板楼，洋房居多，一梯两户，得房率在88%，居住舒适高， 物业安保责任心强，小区业主安全有保障，小区24小时保安守护并巡逻。
                  ",,"
                    户型：客厅朝南，双卧朝南，带独立卫生间明卫，次卧厨房餐厅朝北，厨房与客厅南北通透，主卧次卧南北通透。
                  ",,"
                    小区内部就有底商，包含便利店、餐馆、理发店、培训机构等，小区出西门就是中关村壹号，西北方向有悦界主题街区，配套齐全。
                  ","
                    距离16号线地铁永丰站直线距离2.3公里（数据来源于高德地图），公交车有543.544，专128路，交通方便。
                  ",,,,,,
21,['钓鱼台央产 使用率78% 全南大2居 视野采光好 干净整洁'],890,106244,"['海淀', '紫竹桥']",2室1厅1厨1卫,高楼层 (共18层),83.77㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,2023-11-16,已购公房,2009-12-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一税费成本低，公房性质利于贷款，全南，居住舒适；
                  ","
                    小区共有4栋楼，1999年的楼龄， 本小区是单位宿舍楼，本楼是钓鱼台国宾馆单位的，管理严格；楼道干净、整洁； 小区物业是安安物业，供暖是市政集中供暖；
                  ",,,"
                    房屋的产权是央产房此房满五年唯一土地出让金1541元契税首套是1.5%二套是3%；
                  ",,"
                    小区距离地铁16号线万寿寺站D口约有1300米， 距离地铁6号线花园桥站A口约有1300米（数据来源高德地图）。
                  ",,,,,,
22,['西苑100号南一院 南北两居室 光线好 充足'],555,101835,"['海淀', '颐和园']",2室1厅1厨1卫,中楼层 (共4层),54.5㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-17,已购公房,1999-12-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一 公房 光线充足，有钥匙随时能看
                  ","
                    中信所西苑 社区占地面积约 2 万平方米，绿地面积约4千平方米，共有楼房 7座，居住户302户，社区内居民文化程度高，思想素质高，科研人员、科技干部、退离休人员多等特点。社区风气良好，环境整洁优美，居民生活方便，治安井然有序的基本格局
                  ",,"
                    南北两室 动静分离简单装修 厨房朝北 主卧带阳台朝南 客厅在中间，次卧室朝北。
                  ",,"
                    从咱们小区大概走800米就能到西苑地铁站，小区有商超,龙湖星悦荟,小区大概700米, ,方便您的日常生活。小区有达三甲标准的中国中医科学院西苑医院,离小区大概400米,小区有A未来公园、亮丽园、海淀公园等,..
                  ",,,"
                    业主卖房变现，目前空置，没有抵押，产权清晰可以直接交易，房子有户口可以随时迁出。
                  ","
                    此房是业主目前更换居住地想着距离孩子近一些的小区居住，公房，业主售房变现，诚意出售。
                  ",,,
23,['稻香园 东西通透两居室 满五唯一 有电梯'],680,95119,"['海淀', '苏州桥']",2室1厅1厨1卫,中楼层 (共10层),71.49㎡,平层,暂无数据,板楼,东 西,钢混结构,简装,两梯两户,集中供暖,有,2023-11-17,商品房,2015-09-18,普通住宅,满五年,非共有,"
                                有抵押 140万元 工商银行
                              ",已上传房本照片,"
                    稻香园 东西通透两居室 满五唯一 有电梯 铁道部家家属楼
                  ","
                    稻香园小区位于西北三环和西北四环之间，小区一共分为南北两个社区，南社区13栋楼，6东电梯楼，北社区13栋楼5栋电梯楼，，一个便民超市 一个便民理发店，两个社区餐桌，北区还有两个幼儿园，配套完善.生活方便。邻里和谐多为国企央企退休干部职..
                  ",,"
                    房子进门就是客厅，厨房卫生间朝西向，两个卧室朝东，主卧室带东向阳台
                  ",,"
                    稻香园小区位于西北三环和西北四环之间，小区一共分为南北两个社区，南社区13栋楼，6东电梯楼，北社区13栋楼5栋电梯楼，，一个便民超市 一个便民理发店，两个社区餐桌，配套完善.生活方便。邻里和谐多为国企央企退休干部职..
                  ","
                    小区北门是16号线万泉河桥南站，南门是10号线苏州街站，西门是公交万泉河桥南站。并且西门直接可上万泉河快速路， 北门出去可上北四环主路。
                  ",,,,,,
24,['南北通透两居，中间位置。好楼层，无遮挡，采光好。'],465,67343,"['海淀', '西二旗']",2室1厅1厨1卫,底层 (共6层),69.05㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-18,一类经济适用房,2001-11-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透两居，中间位置。好楼层，无遮挡，采光好。
                  ","
                    小区是北京安达房地产有限公司开发，物业是东居物业，建成于1999-2005年，总共16栋楼，其中8栋楼带电梯。小区有地上和地下车位，停车比较方便。小区中间有花园和广场，活动空间充足，居住很舒适。
                  ",,,,"
                    医院：小区北边2公里左右有三甲医院（北京积水潭医院新龙泽院区） 商场：东门有首食益民生活广场，里面有超市发超市和菜市场，北边2公里有昌发展万科广场 公园：北边2公里左右有1818街区公园，小区西北3公里有中关村森林公园
                  ","
                    小区西北边500米有西二旗地铁站（13号线和昌平线换乘站） 西侧是京新高速，东边2公里是京藏高速，北边是西二旗大街，开车出行很便利 小区的北门有西二旗公交站，有333路、362路、367路、608路、636路、963路等公交车
                  ",,,,,,
25,['五道口一层独立下水，21年精装修，满五唯一看房方便'],498,89408,"['海淀', '五道口']",2室1厅1厨1卫,底层 (共6层),55.7㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-13,已购公房,2021-05-11,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    福利分房满五年唯一，21年的精装修，有12平米优化面积
                  ",,,"
                    本小区一层南向阳台不算房本面积，变10平米南向卧室加了飘窗，原有卧室变14平米客厅，门厅7.5平米有独立存放冰箱洗衣机的位置，卫生间业主做了优化增加了1.5平米独立淋浴间，全屋定制储物柜增加收纳功能，北向次卧十平米，改了独立下水不再反味。
                  ","
                    公房满五年家庭在京一套住房，有15.6元/平米土地出让金，首套购房1%契税，二套购房3%契税。
                  ","
                    有华联商场,西郊宾馆,食尚苑美食街,和润生鲜市场,和睦家五道口门诊部,清华同方科技广场,优盛大厦,北医三院,西苑中医院,京张高铁纪念公园,王庄带状公园,清华同方科技大厦.距离圆明园遗址公园东门2.6公里
                  ","
                    双轨交通：13号线五道口站,15号线清华东路西口站,京张高铁清河站，南行800米北四环，西北方向京藏高速，往北行京新高速，门口多条公交线路：专12\86\375\331\508\549\307\630等
                  ","
                    业主2021年8月拆成纯毛坯重新装修，改了独立小水不再反味不堵，全屋定制的家具镶嵌在墙体，门厅做了整体衣柜变成衣帽间，增加了一个洗衣间，原有主卧变客厅，南向阳台不算房本面积10平米大小变主卧，房屋利用率无形中增加不少
                  ",,,,,
