,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,交通出行,适宜人群,户型介绍,权属抵押,售房详情,装修描述,税费解析,用水类型,用电类型,燃气价格,别墅类型
10,['世纪星城 南北通透 全明户型 正规两居室'],468,50953,"['通州', '通州北苑']",2室2厅1厨1卫,中楼层 (共10层),91.85㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2023-11-18,私产,2008-10-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，户型方正，小区中间位置中间楼层不把边
                  ","
                    世纪星城小区三期是2005年建成的，人文素质高，小区绿化好，楼间距宽，配套齐全。小区配套成熟，苏荷时代、万达广场，小区东侧有物美、北机菜市场等。小区往南有东直门中医院，李老一条街有各种餐饮KFC、呷哺、拿渡等满足生活需求。
                  ","
                    小区位于通州北苑万达商圈，生活购物有北机菜市场，物美大商场，可以满足您日常所需，小区南面有李老商品市场和餐饮一条街。小区楼下便是金融街，目前有工商银行、邮政储蓄、建设银行。医院有东直门中医院、潞河医院，生活配套齐全
                  ","
                    世纪星城小区交通方便，小区南门前是广渠路东延线，隧道直达6环外市政府，门口有多条公交车站，668、807等直接上京通快速，直达国贸和北京站，还有新开通的公交车312、669上两广路可到大郊亭和马圈，另外还有924、317、372、316等。
                  ",,,,,,,,,,
11,['环球影城 云景西里南区 南北通透 明厨明卫 随时可看'],236,34483,"['通州', '梨园']",2室1厅1厨1卫,低楼层 (共6层),68.44㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-11-20,商品房,2017-09-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    环球影城 云景西里南区 南北通透 明厨明卫 随时可看
                  ","
                    云景西里南区小区一共43栋楼，建成年代从1994年到2002年，本房是1996年左右建成，目前这个院没有物业费，只有卫生费，没有停车费，养房成本比较低。
                  ","
                    商：物美，家乐福，贵友商厦，苏宁电器，蓝岛大厦，淘宝城.2、医院：潞河医院，东直门医院， 妇幼保健院.3、公园：云景公园， 运河奥体公园，碧水公园，梨园主题公园.4、银行：工商银行，建设银行，交通银行，北京银行等.5、酒店：亚太..
                  ","
                    交通方便：公交线路有，647，372，807，924，小10路，小7路等，地铁线路，北边有1号线，南边有7号线。
                  ",,,,,,,,,,
12,['葛布店南里南北通透两居室 位置好不要错过'],219,37132,"['通州', '果园']",2室1厅1厨1卫,底层 (共6层),58.98㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-15,商品房,2017-10-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一（换过房本） 交通便利 购物方便 地理位置好！
                  ","
                    小区是1988年建成 ，公房社区 ，小区是不带电梯的6层板楼，小区没有物业费 没有停车费，购物方便，家乐福 罗斯福，交通方便：地铁八通线九棵树站 ，医院：葛布店南里卫生院，潞河医院 东直门医院通州院区
                  ",,"
                    出行交通便利，步行至地铁站720米（来源百度地图），有公交车372路;587路;668路;802路;805路;810路;938路，能够满足日常的出行。
                  ",,,"
                    房子没有贷款，没有抵押，产权清晰，交易安全，业主在京随时可以交易
                  ",,,"
                    商品房 税费缴纳：本房满五唯一，首套契税1%，二套契税3%。无个税，无增值税
                  ",,,,
13,['小区是2010小区，地铁梨园站，满五唯一'],385,42206,"['通州', '梨园']",3室1厅1厨1卫,低楼层 (共28层),91.22㎡,平层,70.45㎡,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,2023-11-17,定向安置房,2015-07-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    小区是2010小区，地铁梨园站，满五唯一
                  ","
                    小区是2012年左右建设完毕，小区位于梨园商圈， 生活和交通都很方便。民水民电，集中供暖， 车位地上180元/月，地下350元/月。小区自持物业，物业费是1.98元
                  ","
                    配套有贵友大厦，蓝岛大厦，苏宁电器，家乐福，罗斯福广场等， 农行，建行，工行，交行等， 餐饮有好嫂子，百度烤肉，豆花渔庄等
                  ","
                    新城嘉园位于梨园商圈，小区步行到八通线梨园地铁站355米（来源百度地图），梨园地铁外就是公交站，有公交587路，589路，802路，805，810路和806路。其中805可到廊坊，806可到大北窑
                  ",,"
                    全明户型三居室 户型方正，每个功能间都有窗，小区楼间距60--80米。物业比较负责，每天都有人打扫卫生。电梯间比较宽敞，电梯品牌【日立】运行平稳。
                  ","
                    房子是定向安置房，满5年就可以上市交易，满五年，唯一住房，交易买方房只承担契税。
                  ",,,,,,,
14,['雅丽世居 电梯房 近地铁 高楼层 视野好'],324,31323,"['通州', '果园']",2室2厅1厨1卫,高楼层 (共18层),103.44㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,集中供暖,有,2023-11-13,商品房,2019-11-06,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房楼层高，视野好，采光充足，无遮挡，业主诚心卖
                  ","
                    小区为2005年建成，小区总共5栋楼，都是高层板楼带电梯，小区中间是花园，小区内东侧及北侧是停车场，停车十分便，旁边的小区停车位都很紧张，这个小区就很方便，车位充足
                  ","
                    成熟社区，配套齐：有万达广场，京通罗斯福广场，物美，家乐福，苏荷奥特莱斯，农业银行，中国银行，北机菜市场，东直门，潞河医院等
                  ","
                    小区出门左转就是八通线果园城铁站，小区南边有京通快速和两广路，公交有668.938.801.805.等多条公交线路，出行方便
                  ",,"
                    房子是两层， 楼上为客厅，主卧，卫生间，客厅主卧朝南带落地窗阳台；楼上为次卧，厨房，餐厅，次卧朝北带落地窗阳台；诚意出售。楼上和楼下都比同户型的房源多了一个窗户。显得宽敞，明亮
                  ",,,,"
                    房子高原值，相当于满五唯一，没有个税，只有契税，购房成本低。
                  ",,,,
15,['通州北苑，华兴园东西通透，正规两居，中间楼层'],225,32737,"['通州', '通州北苑']",2室1厅1厨1卫,中楼层 (共6层),68.73㎡,平层,暂无数据,板楼,东 西,混合结构,简装,暂无数据,集中供暖,无,2023-11-26,商品房,2014-12-22,普通住宅,满五年,非共有,"
                                有抵押 60万元 工商银行 业主自还
                              ",已上传房本照片,"
                    通州北苑，此房满五年唯一，东西通透
                  ","
                    华兴园位于杨庄路上，通州万达广场西北向，小区是98年和99年建成的，小区的车位分固定车位150元/月和不固定车位120元/月
                  ","
                    万达广场，国泰百货，并与通州商务区咫尺相望；银行：建设银行、农业银行、中国银行、工商银行；餐饮：肯德基、好伦哥、海底捞，各种高低档餐厅；医院：潞河医院、中医医院、东直门医院。
                  ","
                    出小区东门就是公交车站668 807直达国贸 ；从小区东门步行650米就是通州北苑地铁站,；开车走京通快速、两广路出行便捷
                  ",,"
                    房子是东西通透的两居室，中间楼层，朝西的主卧13.7平米，次卧室9平米，房子简单装修，看房随时
                  ",,,,"
                    房子是正常商品房，首套契税是1%，二套是3%，对于首套客户贷款大约到163万左右
                  ",,,,
16,['帅府园 低楼层两居室 南北通透 有钥匙随时看房'],309,50106,"['通州', '万达']",2室1厅1厨1卫,底层 (共6层),61.67㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-17,已购公房,1999-04-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一 南北通透 低楼层 生活配套齐全
                  ","
                    此房1994年建成，社区西北是通州万达广场，往东是潞河医院，往南是玉带河大街，正北是新华大街 距离通州北苑地铁960米（数据来自高德地图），也可坐公交直达国贸（668/669/806/924）等
                  ","
                    小区配套齐全，比较有名通州的万达广场距离小区318米（此数据来源于高德地图），工行，建行，万达影院，西海子公园，潞河医院等
                  ","
                    交通方便.出行便利，地铁站是北苑站，北边就是新华大街，多条公交直达四惠和国贸，公交路线多，有666.667.322.316.435.372.938.924.810路等
                  ",,,,,,,,,,
17,['华远铭悦园 环球影城 南向两居 满五唯一，精装修'],280,36611,"['通州', '临河里']",2室1厅1厨1卫,高楼层 (共28层),76.48㎡,平层,61.37㎡,板塔结合,南,钢混结构,精装,两梯六户,集中供暖,有,2023-11-17,定向安置房,2017-04-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，精装修，高楼层，采光好，视野开阔
                  ","
                    华远地产2014年建成的，物业是开发商自己的物业，圣瑞物业华远分公司，集中供暖30元/平，物业费2.57元/平米，社区停车免费，东侧城市绿心公园，占地11.2平方公里。
                  ","
                    华远铭悦园社区北侧碧水公园和东侧绿心公园，社区西侧是金隅花街，有鲜果蔬，爱尚动健身房，西南侧是华远好天地商街，华联，肯德基，迪卡侬、中行、华夏银行，博纳国际影院，庆丰包子。
                  ","
                    出行便利，坐车出行：社区门口时公交车站，T107、通6路1站到八通线土桥城铁站，可以出门骑通州公租自行车到土桥城铁站，开车出行：社区东侧是东六环，可以在土桥出口出入，入市区可走京沈高速，南侧是103国道可以到通州城区，走广渠路和京通快速到达市区。
                  ",,,,,"
                    改成地暖了，床：顾家，窗：断桥铝，灯：飞利浦，空调：海尔，衣柜：索菲亚定制，门：Tata，防盗门：盼盼。卫浴：科勒，烟机灶具：海尔
                  ",,,,,
18,['通瑞嘉苑西区 3室2厅 南 西 北'],364,40128,"['通州', '潞苑']",3室2厅1厨1卫,高楼层 (共28层),90.71㎡,平层,70.29㎡,板塔结合,南 西 北,钢混结构,简装,两梯四户,集中供暖,有,2023-11-15,自住型商品房,2018-11-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
19,['西营前街户型方正三局室，南北通透，全明格局。'],229,36500,"['通州', '万达']",3室1厅1厨1卫,低楼层 (共6层),62.74㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-20,商品房,2012-10-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五不唯一，南北通透，配套齐全，采光好，全明格局。
                  ",,"
                    小区在1公里范围内有银行，医院，商场，菜市场，公园，餐饮一条街，生活比较方便。公园有西海子公园，运河公园；商场有万达商场，罗斯福广场；医院有潞河医院，中西医结合医院。
                  ","
                    出小区正门，环保绿色出行自行车，各种共享单车。通勤铁路已开通，早上7点13分发车，直达北京站换乘二号线地铁，直达北京西站换乘7号线和九号线；公交车有647路，809路，552路等，距地铁八通线及地铁6号线均约两公里，交通便利。
                  ",,,"
                    没有抵押，房子产权清晰， 没有隐患， 业主诚心出售，欢迎您来实地看房！
                  ","
                    看房方便，随时可以看房，一手业主，靠谱卖，配套设施齐全，视野采光好，小区干净整洁，位置优越，楼层低，出行方便，生活方便。
                  ",,,,,,
20,['商品房满五年唯一，中间位置，高楼层，采光通风视野好'],279,31547,"['通州', '九棵树(家乐福)']",2室2厅1厨1卫,中楼层 (共22层),88.44㎡,平层,71.41㎡,板塔结合,西,钢混结构,简装,两梯四户,集中供暖,有,2023-11-14,限价商品房,2012-02-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    商品房满五年唯一，中间位置，高楼层，采光通风视野好
                  ","
                    此房所在的小区是2009年新建的限价商品房住房，70年大产权，每栋楼之间设有健身器材，小区的物业是金罗马物业，每天有值班的在小区巡逻，保洁每天给楼道的公共区域做2次保洁，小区是地上停车位，150元/月，集中供暖30元/平米/月，养房成本低。
                  ","
                    杨家火锅，庆丰包子铺，东方快车，大型麦当劳，大鸭梨，飘香食府等良好的用餐环境，物美便利店，谊品生鲜便利店，永辉便利店，还有大稿村菜市场和露天菜市场，购物十分方便，工商银行，邮储银行，中国银行，人民银行。
                  ","
                    通11和通12可到九棵树地铁，19路，36路、316可到果园和北苑地铁，552可到6号线北运河西，582可到地铁草房站，669直达国贸，早班车807直达大北窑；南到京哈高速5.5公里，向北到京通快速路5.5公里，到广渠路2.6公里，出行十分便捷。（来源于百度地图）
                  ",,"
                    进门的大客厅朝东有一个大阳台，主卧室和次卧室也是朝东的有大窗户，厨房朝东有窗户，做饭时油烟味儿可以尽快的散去，卫生间可以设计成干湿分离的布局，使用便捷，客厅和餐厅相连接，整体布局方方正正的，几乎没有什么浪费的面积。
                  ",,,,"
                    报价是商品房满五年唯一的价格，购买有契税。首套购房资格契税是计税价格*1%，二套购房资格契税是计税价格*3%。
                  ",,,,
21,['通瑞嘉苑西区 2室1厅 南'],289,37626,"['通州', '潞苑']",2室1厅1厨1卫,顶层 (共28层),76.81㎡,平层,59.52㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2023-11-18,自住型商品房,2018-11-15,普通住宅,满五年,非共有,"
                                有抵押 60万元 建设银行 业主自还
                              ",已上传房本照片,,,,,,,,,,,,,,
22,['K2清水湾   精装修  拎包入住  视野采光好  墅式生活'],429,49544,"['通州', '潞苑']",2室1厅1厨1卫,低楼层 (共27层),86.59㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-11-18,商品房,2020-10-13,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    人车分流+全屋地暖+新风系统+园林景观+自住标准精心装修满五
                  ","
                    K2清水湾：石榴集团在通州开发的精品楼盘，绿城物业公司，小区园林3000万打造，坡体绿化，下沉式花园，水系，电梯楼房落地窗，视野开阔采光充足，配备全屋地暖，新风系统，实木防盗门密码锁，自带10000平米的公园，集中供暖，与V7九间堂别墅共享
                  ",,"
                    小区东侧芙蓉东路，南行通州新华大街上京通快速路即为长安街东延线可驱车上通燕高速，京通快速路，北行可走京榆旧线，朝阳北路延长线潞苑南大街，规划中地铁M101龙旺庄站500米《百度地图》显示西边距离2000米北关地铁站，公交线路有312.322.808.804.648.342
                  ",,,,,"
                    房子是南向两居室，自住标准装修，装修用的材料都是环保无污染的，您可以放心使用，全屋都是品牌家具家电可以让您拎包入住，视野开阔，阳光照射时间很充足，卧室都朝南，能在房间里看景观，全屋地暖，新风系统
                  ",,,,,
23,['水仙园 2室1厅 南 北'],433,46187,"['通州', '武夷花园']",2室1厅1厨1卫,低楼层 (共6层),93.75㎡,平层,84.35㎡,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-14,商品房,2006-09-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
24,['北关地铁站2.6公里 西潞苑小区 满五年唯一'],215,31323,"['通州', '北关']",2室1厅1厨1卫,底层 (共6层),68.64㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-11-22,商品房,2007-10-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    北关地铁站2.6公里 西潞苑小区 满五年唯一
                  ","
                    小区在通州区北关桥北，距离地铁6号线北关地铁站2.6公里（来自百度测距），小区西侧是通顺路，北侧是朝阳北路延长线，出行方便
                  ",,,"
                    这套房子是1层的，南北通透的，家里是简单装修，家里有老人和小孩儿的，免去爬楼的辛苦，居住舒适
                  ",,,"
                    房子没有抵押，没有贷款，产权清晰，业主卖房子是想换一套，如果您觉得房子合适，业主可以签约。
                  ",,,,,,
25,['海棠湾 中间位置 高层 全南向  直观小区人工湖景观'],440,48067,"['通州', '临河里']",2室1厅1厨1卫,中楼层 (共22层),91.54㎡,平层,71.74㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2023-11-27,商品房,2014-12-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    海棠湾最牛位置 高层 全南向 精装两居室 直观大湖景观，有钥匙
                  ","
                    海棠湾小区在梨园地区是数得着的前几名，小区是坡度园林景观设计，走在小区里您就如同置身于绿树葱葱的公园里一样，绿化高达35%，种有108种绿植，春天杏花梨花桃花苹果花，夏天3500平米的大湖绿波荡漾鱼群戏睡莲，秋天枫红果香，人车分流
                  ","
                    小区西侧是梨园一条街，街上美食林立，盒马生鲜，大小超市，物美家乐福，贵友大厦和领展购物；东西两侧各有一个大农贸市场
                  ","
                    双地铁小区，距离南侧的七号线群芳站直线距离900米，距离北侧一号线梨园站1.9公里，门口有多公交车线路，去环球影城、绿心公园大运河森林公园的双层公交T116；去国贸的647，去6号线T9路，372.通7通11
                  ",,"
                    海棠湾非 常好的全南向两居室，客厅有大阳台且三面都有落地窗，卧室有大飘窗，次卧连着一个小阳台，小阳台很实用，实用性很强，也可以当做储藏室；卫生间很大，可以做个淋浴房，厨房有大的推拉门，大小合适。这个户型一年到头采光都很好，能充分享受阳光
                  ",,,,"
                    房子为商品房，房本满五年，业主家庭名下在京无其他房产，购买此房首套只需缴纳1.5%契税。
                  ",,,,
26,['加华南向一居室，落地窗，采光充足！'],325,43701,"['通州', '武夷花园']",1室1厅1厨1卫,中楼层 (共11层),74.37㎡,平层,62.34㎡,板楼,南,钢混结构,简装,一梯三户,自供暖,有,2023-11-26,商品房,2015-09-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年，唯一住房，正规南向一居室，带弧形飘窗，采光好
                  ","
                    加华印象街，2005年社区，位于东长安街东端，通胡大街北侧，距离市政府2公里，小区占地10.5公顷，总建面积20多万平方米。建筑为9至11层板式小高层；设计理念是采用荷兰式风格，特点是简洁和贴近自然，以人为本的理念
                  ","
                    银行：农业银行、中国工商银行、中国建设银行、中国邮政银行 医院：友谊医院 、潞河医院、新华医院、通州医院 公园：运河奥体公园、西海子公园。200亩大型综合运动公园,集网球、篮球、羽毛球、足球、游泳、健身等各项体育设施于一体。
                  ","
                    小区门口就是百合湾公交站，有322（武夷花园-四惠）、804(北京站东-武夷花园-大运河森林公园)、809（大运河森林公园-武夷花园-大运河森林公园）、667（东关大桥-国贸大北窑）等，距离地铁6号线通运门地铁站1.1公里，出行方便。也有绿色出行自行车到地铁站。
                  ",,,"
                    房本干净，没有抵押，也没有贷款，可以直接走手续，缩短交易周期！
                  ",,,"
                    房子为商品房，满五唯一仅有契税1%，业主诚意出售，产权清晰！
                  ",,,,
