ΧάΌΫΈρ,µ¥ΌΫ,µΨ¶Ξ,·ΏΞέ»§ΠΝ,ΛωΤΪΒ¥²γ,½¨ΦώΓζ»ύ,»§ΠΝ½αΉΉ,Χ°ΠήΗιΏφ
225,20326,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,¶¥²γ ,110.7,Ζ½²γ,ΌςΧ°
176,26916,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,65.39,Ζ½²γ,ΌςΧ°
265,26910,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ2Ξΐ,¶¥²γ ,98.48,Ζ½²γ,ΌςΧ°
305,25659,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,¶¥²γ ,118.87,Ζ½²γ,Ύ«Χ°
158,28010,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,56.41,Ζ½²γ,ΌςΧ°
206,28181,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,73.1,Ζ½²γ,ΖδΛϋ
235,30048,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,78.21,Ζ½²γ,Ύ«Χ°
240,23765,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,100.99,Ζ½²γ,Ύ«Χ°
175,27340,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,64.01,Ζ½²γ,Ύ«Χ°
170,22589,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,75.26,Ζ½²γ,ΌςΧ°
182,22722,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,80.1,Ζ½²γ,Ύ«Χ°
213,32002,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,66.56,Ζ½²γ,ΌςΧ°
249,24010,"['»³Θα', '»³Θα']",2ΚÒ2Μό1³ψ1Ξΐ,µΝΒ¥²γ ,103.71,Ζ½²γ,Ύ«Χ°
242,37174,"['»³Θα', '»³Θα']",1ΚÒ1Μό1³ψ1Ξΐ,¶¥²γ ,65.1,Ζ½²γ,ΌςΧ°
270,31017,"['»³Θα', '»³Θα']",2ΚÒ2Μό1³ψ2Ξΐ,µΧ²γ ,87.05,Ζ½²γ,ΌςΧ°
245,27829,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,88.04,Ζ½²γ,Ύ«Χ°
280,31596,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,88.62,Ζ½²γ,ΖδΛϋ
355,29858,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,118.9,Ζ½²γ,Ύ«Χ°
165,27853,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,59.24,Ζ½²γ,ΌςΧ°
133,19731,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,67.41,Ζ½²γ,ΌςΧ°
180,22190,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,81.12,Ζ½²γ,Ύ«Χ°
239,23400,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ1Ξΐ,¶¥²γ ,102.14,Ζ½²γ,ΌςΧ°
266,27588,"['»³Θα', '»³Θα']",2ΚÒ2Μό1³ψ2Ξΐ,¶¥²γ ,96.42,Έ΄Κ½,ΌςΧ°
155,25847,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,59.97,Ζ½²γ,ΌςΧ°
1600,38581,"['»³Θα', '»³Θα']",8ΚÒ4Μό2³ψ4Ξΐ,µΧ²γ ,414.72,Έ΄Κ½,Γ«Εχ
330,19527,"['»³Θα', '»³Θα']",4ΚÒ2Μό1³ψ2Ξΐ,¶¥²γ ,169.0,Έ΄Κ½,ΖδΛϋ
260,29224,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,88.97,Ζ½²γ,ΖδΛϋ
370,28884,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,µΝΒ¥²γ ,128.1,Ζ½²γ,ΖδΛϋ
560,30800,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΈίΒ¥²γ ,181.82,Ζ½²γ,ΌςΧ°
359,26844,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,133.74,Ζ½²γ,Ύ«Χ°
750,36985,"['»³Θα', '»³Θα']",4ΚÒ2Μό1³ψ2Ξΐ,¶¥²γ ,202.79,Έ΄Κ½,ΌςΧ°
760,37288,"['»³Θα', '»³Θα']",4ΚÒ2Μό1³ψ2Ξΐ,µΧ²γ ,203.82,Έ΄Κ½,ΖδΛϋ
268,33703,"['»³Θα', '»³Θα']",4ΚÒ2Μό1³ψ2Ξΐ,¶¥²γ ,79.52,Έ΄Κ½,ΖδΛϋ
215,27072,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,79.42,Ζ½²γ,ΌςΧ°
483,34935,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΈίΒ¥²γ ,138.26,Ζ½²γ,ΌςΧ°
375,28084,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΈίΒ¥²γ ,133.53,Ζ½²γ,ΌςΧ°
350,31301,"['»³Θα', '»³Θα']",2ΚÒ2Μό1³ψ2Ξΐ,µΝΒ¥²γ ,111.82,Ζ½²γ,ΌςΧ°
243,30052,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΈίΒ¥²γ ,80.86,Ζ½²γ,ΖδΛϋ
234,32986,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,70.94,Ζ½²γ,ΖδΛϋ
225,26574,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,¶¥²γ ,84.67,Ζ½²γ,ΖδΛϋ
239,26770,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,89.28,Ζ½²γ,ΖδΛϋ
302,33747,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,89.49,Ζ½²γ,Ύ«Χ°
205,29853,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,µΝΒ¥²γ ,68.67,Ζ½²γ,ΖδΛϋ
400,31032,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,128.9,Ζ½²γ,ΖδΛϋ
1730,56770,"['»³Θα', '»³Θα']",5ΚÒ2Μό1³ψ6Ξΐ,µΧ²γ ,304.74,Έ΄Κ½,Ύ«Χ°
469,36259,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,129.35,΄ν²γ,ΖδΛϋ
490,26026,"['»³Θα', '»³Θα']",4ΚÒ2Μό1³ψ3Ξΐ,ΈίΒ¥²γ ,188.28,Έ΄Κ½,Ύ«Χ°
355,30309,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ1Ξΐ,µΧ²γ ,117.13,Ζ½²γ,ΖδΛϋ
278,25895,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,¶¥²γ ,107.36,Έ΄Κ½,ΌςΧ°
750,32577,"['»³Θα', '»³Θα']",5ΚÒ3Μό1³ψ3Ξΐ,ΦΠΒ¥²γ ,230.23,Έ΄Κ½,Ύ«Χ°
858,29054,"['»³Θα', '»³Θα']",7ΚÒ2Μό1³ψ4Ξΐ,µΧ²γ ,295.32,Έ΄Κ½,Ύ«Χ°
155,23517,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,65.91,Ζ½²γ,ΌςΧ°
219,22471,"['»³Θα', '»³Θα']",2ΚÒ2Μό1³ψ1Ξΐ,µΝΒ¥²γ ,97.46,Ζ½²γ,ΌςΧ°
335,30594,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΈίΒ¥²γ ,109.5,Ζ½²γ,ΖδΛϋ
298,32026,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,93.05,Ζ½²γ,ΌςΧ°
180,20492,"['»³Θα', '»³Θα']",2ΚÒ2Μό1³ψ1Ξΐ,µΝΒ¥²γ ,87.84,Ζ½²γ,ΌςΧ°
305,34083,"['»³Θα', '»³Θα']",2ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,89.49,Ζ½²γ,Ύ«Χ°
800,38607,"['»³Θα', '»³Θα']",4ΚÒ2Μό1³ψ2Ξΐ,µΧ²γ ,207.22,Έ΄Κ½,ΖδΛϋ
370,27641,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,ΦΠΒ¥²γ ,133.86,Ζ½²γ,ΖδΛϋ
585,20106,"['»³Θα', '»³Θα']",5ΚÒ3Μό1³ψ2Ξΐ,µΧ²γ ,290.96,Έ΄Κ½,ΌςΧ°
245,27229,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,¶¥²γ ,89.98,Έ΄Κ½,ΖδΛϋ
675,21050,"['»³Θα', '»³Θα']",4ΚÒ2Μό1³ψ4Ξΐ,µΧ²γ ,320.68,Έ΄Κ½,Γ«Εχ
887,42643,"['»³Θα', '»³Θα']",4ΚÒ3Μό1³ψ3Ξΐ,µΧ²γ ,208.01,Έ΄Κ½,ΌςΧ°
399,24658,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ1Ξΐ,ΦΠΒ¥²γ ,161.82,Ζ½²γ,Ύ«Χ°
2180,37717,"['»³Θα', '»³Θα']",4ΚÒ1Μό1³ψ1Ξΐ,µΧ²γ ,578.0,Έ΄Κ½,Γ«Εχ
1910,57166,"['»³Θα', '»³Θα']",9ΚÒ4Μό3³ψ9Ξΐ,µΧ²γ ,334.12,Έ΄Κ½,ΖδΛϋ
245,27302,"['»³Θα', '»³Θα']",3ΚÒ1Μό1³ψ2Ξΐ,¶¥²γ ,89.74,Έ΄Κ½,ΖδΛϋ
365,21498,"['»³Θα', '»³Θα']",5ΚÒ2Μό1³ψ2Ξΐ,¶¥²γ ,169.79,Έ΄Κ½,ΌςΧ°
830,26230,"['»³Θα', '»³Θα']",6ΚÒ1Μό1³ψ4Ξΐ,µΧ²γ ,316.44,Έ΄Κ½,Γ«Εχ
499,23570,"['»³Θα', '»³Θα']",4ΚÒ3Μό1³ψ3Ξΐ,¶¥²γ ,211.71,Έ΄Κ½,ΖδΛϋ
439,35017,"['»³Θα', '»³Θα']",3ΚÒ2Μό1³ψ2Ξΐ,¶¥²γ ,125.37,Ζ½²γ,ΖδΛϋ
